리뷰일,앱이름,별점,사용자 리뷰,회사 응답
2025-08-05,kb스타뱅킹,4.0,모바일 신분증 등록이 안드로이드 14 부터 지원이라고 나오는군요. 행안부 모바일앱과 다른 은행앱은 안드로이드 10도 지원하는데. 이 앱이 다크모드 지원을 해서 좋은데 지갑 신분증 등록이 엉터리네요.,"안녕하세요, 고객님. KB스타뱅킹 이용에 불편을 드려 죄송합니다. KB스타뱅킹 국민지갑처럼 행안부 앱 외의 민간앱에서 모바일 신분증을 발급하기 위해서는 삼성 '안전지갑'을 이용해야 하는데, 안전지갑을 지원하는 버전이 안드로이드 14 이상이기 때문에 국민지갑 모바일 신분증 발급을 위해서는 안드로이드 버전 업데이트가 필요합니다. 하지만 말씀주신대로 행안부 앱 모바일 신분증을 이용하는 데는 안드로이드10버전도 지원이 가능하기 때문에, KB스타뱅킹에서 행안부 앱을 이용해 모바일신분증을 이용하신다면 버전 업데이트가 불필요합니다. 행안부 앱에 이미 신분증이 있으시다면 국민지갑 신분증 발급은 필수가 아닌 점 참고 부탁드립니다."
2025-08-05,kb스타뱅킹,5.0,빠르고 편리함,"안녕하세요, 고객님. KB스타뱅킹을 꾸준히 이용해주시는 고객님께 진심으로 감사의 말씀을 드립니다. 항상 고객님들의 소중한 의견에 귀기울여 모니터링하고 있으며, 혹여 이용중에 불편사항이나 오류 내용이 있으시다면 언제든지 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)를 통해 남겨주신다면 확인 후에 빠르게 개선할 수 있도록 도와드리겠습니다. 귀중한 시간에 소중한 별점과 리뷰 남겨주셔서 다시 한 번 감사의 말씀 드립니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,4.0,만족합니다,"고객님, 안녕하세요! KB스타뱅킹을 이용해 주셔서 진심으로 감사합니다. 저희 KB스타뱅킹은 고객님께 편리하고 안전한 서비스를 제공해드릴 수 있도록 최선을 다하고 있습니다. 앞으로도 KB스타뱅킹을 계속 이용해 보시고 만족스럽다면 별점도 5점으로 업데이트 부탁드리겠습니다. 많은 이용과 관심 부탁드리며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,굿굿,"고객님, 안녕하세요! KB스타뱅킹을 이용해 주셔서 진심으로 감사합니다. 앞으로도 고객님께 편리하고 안전한 서비스를 제공드릴 수 있도록 최선을 다하겠습니다! 많은 이용과 관심 부탁드리며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,편해요.,"고객님 안녕하세요! KB스타뱅킹을 이용해 주시고 바쁘신 와중에 칭찬글까지 남겨주시어 진심으로 감사드립니다. KB스타뱅킹은 고객님께서 항상 편리하게 사용하실 수 있도록 최선을 다하겠습니다! 앱 이용 중 개선사항이 있으시다면, [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다!
"
2025-08-05,kb스타뱅킹,5.0,좋아요,"고객님, 안녕하세요! KB스타뱅킹을 이용해 주셔서 진심으로 감사합니다. 앞으로도 고객님께 편리하고 안전한 서비스를 제공드릴 수 있도록 최선을 다하겠습니다! 많은 이용과 관심 부탁드리며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,젤좋음,"안녕하세요, 고객님. KB스타뱅킹을 이용해주시고, 바쁘신 시간 중에도 소중한 칭찬글과 별점을 남겨주셔서 진심으로 감사의 말씀을 드립니다. 꾸준히 이용해주시는 고객님을 위해 더욱 편리하고 안전한 금융서비스를 제공해드릴 수 있도록 최선을 다하겠습니다. 혹시 이용 중에 불편한 부분이 있거나 오류가 발생하는 경우에는 언제든지 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 내용을 남겨주시면 빠르게 확인하고 조치하겠습니다. 앞으로도 고객님의 의견을 귀담아 듣고 더욱 발전하는 KB스타뱅킹이 되겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,생각지 못한 휴면계좌연계도 되니 정말 편리하네요,"안녕하세요, 고객님. KB스타뱅킹을 꾸준히 이용해주시고 소중한 시간을 내어 칭찬 글까지 남겨주셔서 진심으로 감사드립니다. KB스타뱅킹은 안전하고 편리한 금융서비스 제공을 위해 최선을 다하고 있습니다. 앱 이용중 조금이라도 불편하시거나 개선사항이 발견되신다면 언제든 편하게 제안해주시기 바랍니다. 고객님의 의견에 귀기울이며 항상 발전하는 KB스타뱅킹이 되겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,3.0,업데이트하고 나서 건강적금 금리확인 안되고 있음 금리확인 클릭하면 상단에 안내문구만 보이고 하단 그래픽 화면이 안 나타남 기간내에 확인해야 하는거데 빨리 해결책좀 주셈,"고객님 안녕하세요, KB스타뱅킹 이용에 불편을 드려 대단히 죄송합니다. 고객님께서 겪으신 불편사항에 대하여 확인 후 조치방법을 안내드리고 싶으나, 남겨주신 앱리뷰 내용만으로는 명확한 원인파악이 어려운 상황입니다. 우선 앱 최적화를 위해 [KB스타뱅킹 전체메뉴 &gt; 환경설정 &gt; 앱환경설정 &gt; 캐시/쿠키 삭제]에서 쿠키/데이터 지우기를 먼저 시도해보시는 것을 제안드립니다. 만약 동일 현상이 반복되는 경우에는 인터넷뱅킹ID, 오류화면 캡처 등 상세정보를 [네이버블로그 &gt; 'KB스타뱅킹 앱리뷰' &gt; 고객의 목소리]에 남겨주시면 확인하여 안내드리겠습니다. 이용에 불편을 드려 다시 한 번 죄송합니다.
"
2025-08-05,kb스타뱅킹,1.0,이체한도가 500인데 24만원도 이체 안되면서 한도 변경하라함ㅋㅋㅋ 구래서 어제 낮게 바꿔서 되더니 또안됨 왜이래 갑자기 주거래 은행 바꿔야하나 하 또 이체 한도 바꾸면 당일은 됨 어이없어,"안녕하세요, 고객님. 이체 한도와 관련해 불편을 드려 진심으로 사과드립니다. [KB스타뱅킹 전체메뉴&gt; 이체&gt; 이체한도 조회/변경] 메뉴에서 당일 이체 금액 합계 및 남은 이체한도를 확인하실 수 있습니다. 번거로우시겠지만 같은 오류가 반복해서 발생한다면 안내드린 메뉴에서 남은 이체한도를 확인해주시고, 한도가 충분히 남았는데도 이체 시 오류가 발생한다면 보유하신 통장이 '금융거래한도계좌'가 아닌지 확인을 부탁드립니다. 그 밖에 궁금하신 내용이 있으시다면, [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다!"
2025-08-05,kb스타뱅킹,5.0,국민은행을 너무 잘 편리하게 이용할 수 있어 감사드립니다,"고객님 안녕하세요! KB스타뱅킹을 이용해 주시고 바쁘신 와중에 칭찬글까지 남겨주시어 진심으로 감사드립니다. KB스타뱅킹은 고객님께서 항상 편리하게 사용하실 수 있도록 최선을 다하겠습니다! 앱 이용 중 개선사항이 있으시다면, [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다!
"
2025-08-05,kb스타뱅킹,1.0,어플명이 일본어로바꼈네요 해킹 당했나요?,"안녕하세요, 고객님. KB스타뱅킹 앱 이름이 일본어로 보이시는 경우 휴대폰 자체의 언어 설정이 일본어로 설정된 경우일 수 있습니다. [휴대폰 설정&gt; 일반&gt; 언어] 메뉴에서 주 언어가 일본어로 설정되어있는지 확인을 부탁드리며, 혹시 일본어로 되어있는 경우 설정을 한국어로 변경해주시면 'KB스타뱅킹'으로 정상 표시될 것으로 생각됩니다. 계속해서 동일한 문제가 발생하는 경우 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다. 감사합니다."
2025-08-05,kb스타뱅킹,3.0,룰렛 돌릴때 마다 5나10포인트만나와여,"고객님, 안녕하세요. KB스타뱅킹을 이용해 주셔서 진심으로 감사드립니다. 고객님께 더욱 편리하고 안정적인 금융서비스를 제공해 드리기 위해, 보내주시는 의견을 모니터링하며 개선해 나가고 있습니다. 앞으로도 고객님의 소중한 의견을 귀담아 들으며 발전하는 KB스타뱅킹이 되도록 노력하겠습니다. 언제나 지금처럼 많은 관심과 이용 부탁드리겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,굿,"고객님, 안녕하세요! KB스타뱅킹을 이용해 주셔서 진심으로 감사합니다. 앞으로도 고객님께 편리하고 안전한 서비스를 제공드릴 수 있도록 최선을 다하겠습니다! 많은 이용과 관심 부탁드리며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,1.0,포인트 받기 퀴즈랑 벨런스게임 다섯고개 책리뷰 다 사라짐 하,"안녕하세요, 고객님. KB스타뱅킹을 이용해주셨으나 만족을 드리지 못해 죄송합니다. KB스타틴즈 서비스 내 이용률이 적은 '도전! 필독도서, 이번주 퀴즈, 밸런스 게임, 다섯고개 퀴즈'는 [KB스타틴즈&gt; 전체메뉴&gt; 고객센터&gt; 공지사항] 및 알림 Push 발송을 통해 사전 안내 후 10.20(월) 서비스가 종료되었습니다. 불편을 드린 점 다시 한 번 사과드리며, 더 궁금하신 점이 있으시다면 [KB스타틴즈&gt; 전체메뉴&gt; 고객센터&gt; 문의 남기기]에 언제든 편하게 말씀해주시기 바랍니다. 감사합니다."
2025-08-05,kb스타뱅킹,1.0,뭐하는 앱인지 오류가득,"고객님 안녕하세요, KB스타뱅킹 이용에 불편을 드려 대단히 죄송합니다. 고객님께서 겪으신 불편사항에 대하여 확인 후 조치방법을 안내드리고 싶으나, 남겨주신 앱리뷰 내용만으로는 명확한 원인파악이 어려운 상황입니다. 우선 앱 최적화를 위해 [KB스타뱅킹 전체메뉴 &gt; 환경설정 &gt; 앱환경설정 &gt; 캐시/쿠키 삭제]에서 쿠키/데이터 지우기를 먼저 시도해보시는 것을 제안드립니다. 만약 동일 현상이 반복되는 경우에는 인터넷뱅킹ID, 오류화면 캡처 등 상세정보를 [네이버블로그 &gt; 'KB스타뱅킹 앱리뷰' &gt; 고객의 목소리]에 남겨주시면 확인하여 안내드리겠습니다. 이용에 불편을 드려 다시 한 번 죄송합니다.
"
2025-08-05,kb스타뱅킹,5.0,혼자 폰가입 편하네요 직접안가도 되고 편리합니다 굳,"안녕하세요, 고객님. KB스타뱅킹을 이용해주시고, 바쁘신 시간 중에도 소중한 칭찬글과 별점을 남겨주셔서 진심으로 감사의 말씀을 드립니다. 꾸준히 이용해주시는 고객님을 위해 더욱 편리하고 안전한 금융서비스를 제공해드릴 수 있도록 최선을 다하겠습니다. 혹시 이용 중에 불편한 부분이 있거나 오류가 발생하는 경우에는 언제든지 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 내용을 남겨주시면 빠르게 확인하고 조치하겠습니다. 앞으로도 고객님의 의견을 귀담아 듣고 더욱 발전하는 KB스타뱅킹이 되겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,잘 사용하고 있습니다.,"고객님, 안녕하세요! KB스타뱅킹을 꾸준히 이용해 주셔서 진심으로 감사합니다. KB스타뱅킹과의 인연을 계속해서 이어가고 계신 만큼, 고객님께 앞으로도 계속 편리하고 안전한 서비스로 만족을 드릴 수 있도록 최선을 다하겠습니다! 앞으로도 고객님의 일상에 KB스타뱅킹이 함께할 수 있기를 바라며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,3.0,익시오가 자꾸 악성앱이라고 삭제하래요.. 왜이럴까 증말 갑자기,"안녕하세요 고객님, KB스타뱅킹 이용에 불편을 드려 죄송합니다. 고객님께서 남겨주신 의견에 대해 원인과 해결 방법을 남겨드리고 싶습니다만, 익시오에서 어떤 기준으로 악성앱을 판단하고 있는지 KB스타뱅킹에서 정확하게 파악하여 안내드리기 어려운 상황입니다. 번거로우시더라도 익시오 고객센터로 악성앱 표시에 관해 문의해주시면 보다 상세한 답변을 받으실 수 있을 것으로 생각됩니다. 그밖에 KB스타뱅킹을 이용하시면서 궁금하신 부분이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리]로 언제든 편하게 말씀해 주시기 바랍니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,1.0,선불카드 쓰는데 kb카드 안쓰는 사람들 인증하기 힘드네.,"안녕하세요, 고객님. KB스타뱅킹 이용에 불편을 드려 죄송합니다. 남겨주신 리뷰만으로는 KB카드 인증에서 어떤 어려움이 있으셨는지 상세한 확인이 어려운 점 양해를 부탁드립니다. 혹시 KB스타뱅킹이 아닌 KB Pay앱 인증을 이용하신다면, KB국민카드와 KB국민은행이 분사되어 별개의 회사로 운영되고있어 번거로우시더라도 KB Pay앱 또는 KB국민카드 고객센터(1588-1688)로 문의주시면 보다 상세한 확인을 통한 답변을 받으실 수 있을 것으로 생각됩니다. 그밖에 KB스타뱅킹 이용 중 어려운 부분이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리]로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,3.0,내 투표 어디갔어요 밸런스 게임 얼마나 좋아했는데,"안녕하세요, 고객님. KB스타뱅킹을 이용해주셨으나 만족을 드리지 못해 죄송합니다. KB스타틴즈 서비스 내 이용률이 적은 '도전! 필독도서, 이번주 퀴즈, 밸런스 게임, 다섯고개 퀴즈'는 [KB스타틴즈&gt; 전체메뉴&gt; 고객센터&gt; 공지사항] 및 알림 Push 발송을 통해 고객님들께 사전 안내드린 후 10.20(월) 서비스가 종료되었습니다. 불편을 드린 점 다시 한 번 사과드리며, 더 궁금하신 점이 있으시다면 [KB스타틴즈&gt; 전체메뉴&gt; 고객센터&gt; 문의 남기기]에 언제든 편하게 말씀해주시기 바랍니다. 감사합니다."
2025-08-05,kb스타뱅킹,5.0,이체한도 변경 은행 직원분께 배우고 처음 해봤는데 쉽고 좋습니다~,"고객님 안녕하세요! 상담 중 만족스러운 상담을 경험하신 것 같아 다행입니다! KB스타뱅킹 전체메뉴&gt;고객센터&gt;고객의견(민원,칭찬,제안)&gt;칭찬의견] 메뉴에서 고객님께 도움을 드린 직원에게 칭찬/격려의 말을 남겨주실 수 있으니 참고 부탁드립니다. KB스타뱅킹도 고객님께서 항상 편리하게 사용하실 수 있도록 최선을 다하고 있으니 많은 이용 부탁드리겠습니다! 만일 앱 이용 중 개선사항 또는 불편사항이 있으시다면, [네이버블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다. 항상 최선을 다하는 KB국민은행, KB스타뱅킹이 되겠습니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,1.0,"뱅킹회원 가입할려고 전체 동의하고 신분증을 촬영해서 인식완료 하고 이름, 주민번호, 발급날짜 맞게 나왔는데 계속 정상처리가 안됐다고 나옵니다. 저의 핸드폰이 고장난것도 아니고 와이파이, 데이터도 잘 작동하고 있는데도 안되고 있습니다.","고객님, 안녕하세요! KB스타뱅킹 이용 시 신분증 촬영에 불편을 드려 죄송합니다. 신분증은 도용 및 위변조 방지를 위해 홀로그램이 삽입되어 빛에 강하기 반응하기 때문에 추후 촬영 시 어두운 배경에서 빛이 반사되지 않도록 신분증을 비스듬히 두고 다시 한 번 촬영을 진행해보시길 부탁드립니다. 신분증 정보가 일치하더라도 컬러프린트 등 사본으로 판별되는 경우 정상 진행이 되지 않을 수 있으니, 신분증 실물을 이용해 가입을 시도해주시기를 부탁드립니다. 더 궁금하신 점이 있으시다면 고객센터(1588-9999&gt; 0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다. 다시 한 번 이용에 불편을 드려 대단히 죄송합니다.
"
2025-08-05,kb스타뱅킹,1.0,"입출금 알림만 빼고 다 꺼놨는데, 주간환율전망은 뭐 입출금임? 왜 매번 알람 울리는거?","고객님 안녕하세요! KB스타뱅킹을 이용해주시는 고객님께 깊은 감사의 말씀을 드리며 알림서비스 이용에 불편을 드려 죄송합니다. 먼저 [KB스타뱅킹 전체메뉴(≡)&gt; 고객정보 관리&gt; [은행]혜택정보 안내 수신동의] 메뉴에서 수신거절로 전환해주시고, [KB스타뱅킹 홈&gt; 알림(우측상단 종모양 아이콘)&gt; 설정&gt; 혜택알림]을 꺼주셨는지 다시 한 번 확인해주세요. 혹시 이용하시는 개인ID 외에 휴대폰에 단체, 사업자 등 다른 ID를 함께 이용하신다면 다른 ID의 알림설정도 확인을 부탁드리겠습니다. 문제가 반복된다면 번거로우시더라도 고객센터(1588-9999&gt;0&gt;3번)로 고객님의 ID등을 알려주시면 보다 상세히 확인 후 답변드리겠습니다"
2025-08-05,kb스타뱅킹,1.0,걍2,"고객님, 안녕하세요! KB스타뱅킹을 이용해 주셔서 진심으로 감사합니다. 저희 KB스타뱅킹은 고객님께 편리하고 안전한 서비스를 제공해드릴 수 있도록 최선을 다하고 있습니다. 앞으로도 KB스타뱅킹을 계속 이용해 보시고 만족스럽다면 별점도 5점으로 업데이트 부탁드리겠습니다. 많은 이용과 관심 부탁드리며, 앱 이용 중 개선사항이 있으시다면 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt;0&gt;3번)로 언제든 편하게 말씀해 주시기 바랍니다♥ 감사합니다.
"
2025-08-05,kb스타뱅킹,5.0,상담원이 친절하고 자세히 알려주어 상품가입에 많은 도움이 되었습니다,"안녕하세요, 고객님. KB스타뱅킹을 이용해주시고, 바쁘신 시간 중에도 소중한 칭찬글과 별점을 남겨주셔서 진심으로 감사의 말씀을 드립니다. 꾸준히 이용해주시는 고객님을 위해 더욱 편리하고 안전한 금융서비스를 제공해드릴 수 있도록 최선을 다하겠습니다. 혹시 이용 중에 불편한 부분이 있거나 오류가 발생하는 경우에는 언제든지 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)로 내용을 남겨주시면 빠르게 확인하고 조치하겠습니다. 앞으로도 고객님의 의견을 귀담아 듣고 더욱 발전하는 KB스타뱅킹이 되겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,2.0,"국민오락실, 나무 키우기 나무도 없어지고 물주기 안됨 빨리 안 고침 퀴즈 오답시 다시 생각해보세요도 없고 틀리면 동전 안줌 타 업체랑 비교됨","고객님, 안녕하세요. KB스타뱅킹을 이용해 주셔서 진심으로 감사드립니다. 고객님께 더욱 편리하고 안정적인 금융서비스를 제공해 드리기 위해, 보내주시는 의견을 모니터링하며 개선해 나가고 있습니다. 앞으로도 고객님의 소중한 의견을 귀담아 들으며 발전하는 KB스타뱅킹이 되도록 노력하겠습니다. 언제나 지금처럼 많은 관심과 이용 부탁드리겠습니다. 감사합니다.
"
2025-08-05,kb스타뱅킹,3.0,나이가들은사람은사용하가힘들다,"안녕하세요, 고객님. KB스타뱅킹 이용에 불편을 드려 죄송합니다. 겪으셨던 어려움을 바로 해결해드리고 싶지만, 남겨주신 리뷰만으로는 정확히 어떤 부분이 어려우셨는지 파악이 어려운 점 양해 부탁드립니다. [전체메뉴(≡) &gt; 환경설정&gt; 앱환경설정&gt; 간편모드/큰글씨 뱅킹 설정] 메뉴에서 '홈화면 간편모드'와 '큰글씨뱅킹' 설정을 켜주시면 홈화면을 주요 기능만으로 구성하실 수 있고 조회 및 이체화면의 글자 크기를 조금 더 크게 설정하실 수 있습니다. 그 밖에 어려우셨던 부분을 자세히 말씀해주시면 상세히 내용 확인 후 답변드릴 수 있도록 노력하겠습니다."
2025-08-05,kb스타뱅킹,5.0,이체후 맨 마지막에 누구한테 얼마 입금했는지 나오는 글자들 좀 키워주실 수 있나요? 다른 사람한테 입금했다고 화면 보여줄때 글자가 너무 작아서 읽기 어려워요,"안녕하세요, 고객님. KB스타뱅킹을 이용해주시고 시간내시어 소중한 의견을 보내주셔서 진심으로 감사드립니다! 다른 분들과 화면을 함께 보실 때 글자 크기를 보다 크게 설정하시고자 하시는 경우, [전체메뉴(≡) &gt; 환경설정&gt; 앱환경설정&gt; 간편모드/큰글씨 뱅킹 설정] 메뉴에서 '큰글씨뱅킹' 설정을 켜주시면(ON) 조회 및 이체화면의 글자 크기를 조금 더 크게 설정하실 수 있습니다. 그 밖에도 앱 이용중 조금이라도 불편하시거나 개선사항이 발견되신다면 언제든 편하게 제안해주시기 바랍니다. 고객님의 의견에 귀기울이며 항상 발전하는 KB스타뱅킹이 되겠습니다. 감사합니다."
2025-08-05,kb스타뱅킹,5.0,70대 할머니인데 쉽게 가입할수있어서 좋아요,"안녕하세요, 고객님. KB스타뱅킹을 꾸준히 이용해주시는 고객님께 진심으로 감사의 말씀을 드립니다. 항상 고객님들의 소중한 의견에 귀기울여 모니터링하고 있으며, 혹여 이용중에 불편사항이나 오류 내용이 있으시다면 언제든지 [네이버 블로그 'KB스타뱅킹 앱리뷰' 고객의 소리] 또는 고객센터(1588-9999&gt; 0&gt;3번)를 통해 남겨주신다면 확인 후에 빠르게 개선할 수 있도록 도와드리겠습니다. 귀중한 시간에 소중한 별점과 리뷰 남겨주셔서 다시 한 번 감사의 말씀 드립니다. 감사합니다.
"
