제목,저자,역자,글그림,그림,기획,감수,글,출판사,출간일,가격,평점,리뷰수,상세페이지링크,페이지 수,카테고리,책설명
트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정윤, 한다혜, 이혜원, 이수진, 서유현, 전다현, 이준영, 이향은, 김나은",,,,,,,미래의창,2025년 09월,18000,9.5,67,https://www.yes24.com/product/goods/153064968,400,국내도서 경제 경영 마케팅 세일즈 트렌드 미래예측,"HORSE POWERAI 대전환의 시대, 무엇을 준비해야 하는가? 세상은 작용과 반작용, 치열한 정반합(正反合)의 소용돌이가 거세게 휘몰아치고 있다. 방향을 잡기 어려울 정도로 속도가 빠르고 정신이 없다. 그렇다면 우리의 방향타는 어디에 있는가? 거센 풍랑과 어디서 불어올지 모르는 태풍을 피하기 위해 우리는 어디에 닻을 내리고 있어야 하는가? 관세전쟁과 특이점을 향하는 AI의 위협, 끝이 보이지 않는 전쟁의 소용돌이 속에서도 한국 경제는 자동차, 조선, 반도체에 이어 글로벌 시장에서 1위의 위업을 달성한 K뷰티, 더욱 한국적이 되어가는 K콘텐츠 열풍에 힘입어 아직은 순항을 이어가고 있다. 수많은 개인들이 보이는 동적이고 창의적인 라이프스타일과 소비 행태들 시 전에 없이 새롭고 흥미로운 트렌드를 만들어내고 있다. 배는 항구에 정박해 있을 때가 가장 안전하지만, 그것이 배의 본질은 아니다. 『트렌드 코리아』와 함께 2026년의 바다로 항해를 이어가자."
절창 切創,구병모,,,,,,,문학동네,2025년 09월,16200,9.3,111,https://www.yes24.com/product/goods/153497469,352,국내도서 소설 시 희곡 한국소설 한국 장편소설,"“상처는 사랑의 누룩이다.”오늘의작가상, 김유정문학상, 김현문학패 수상 작가 구병모 신작 장편소설상처를 통해 타인을 읽는 한 여인,그리고 타인이라는 영원한 텍스트더이상의 수식이 필요치 않은 작가, 그 이름이 하나의 브랜드가 된 구병모의 신작 장편소설 『절창』이 문학동네에서 출간되었다. 장편소설 『파과』로 단단한 서사 장악력을, 『네 이웃의 식탁』으로 시대를 감지하는 예리한 시선을, 『상아의 문으로』로 심원한 문학적 상상력을, 소설집 『단 하나의 문장』과 『있을 법한 모든 것』으로 한계 없는 사유의 스펙트럼을 증명해온 구병모. 전 세계 십여 개국에 번 출간되고 뉴욕타임스 선정 ‘주목할 만한 책 100선’에 선정되었으며 영화화되어 수많은 독자의 사랑을 받은 베스트셀러와 ‘한국 문학에 새로운 전망을 제시하는 실험 정신’을 가장 주요한 판단 기준으로 삼는 김현문학패를 동시에 보유한 그는 이른바 문단과 대중 양쪽에서 열렬하고 공고한 지지를 받는 독특한 위치에 자리한 작가라 할 수 있다. 그런 그의 신작 장편소설 『절창』은 누구보다 드넓은 문학적 영토를 지닌 구병모의 그 어떤 작품을 좋아하는 독자라도 만족시킬 만한 작품이라 할 만하다. 제목인 ‘절창切創’은 ‘베인 상처’라는 뜻으로, 상처에 접촉하는 것으로 상대의 마음을 읽는 한 여성의 이야기를 담고 있다. 언어로 쉽사리 정의 내릴 수 없는 기이한 사랑 이야기이기도 한 이 소설은 오독을 전제하지 않고는 읽을 수 없는 타인이라는 영원한 텍스트를 독해하고자 하는 행위, 그리고 그 행위의 가능성과 불가능성에 대한 깊은 성찰로 나아간다."
위버멘쉬,프리드리히 니체,,,,,,,떠오름,2025년 03월,16020,9.5,424,https://www.yes24.com/product/goods/142972546,260,국내도서 인문 인문 교양 인문에세이,"우리는 종종 타인의 기대에 맞춰 살아가며, 사회가 정해놓은 틀 속에서 자신의 가치를 잃곤 한다. 그러나 니체는 단호히 말한다. ""네 안에 숨겨진 힘을 발견하고, 삶을 스스로 창조하라.""『위버멘쉬』는 니체가 주장한 ‘초인(Ubermensch)’의 철학을 현대적으로 풀어낸 책이다. 위버멘쉬란 기존의 도덕과 사회적 관습을 그대로 따르는 대신, 자신의 의지로 새로운 가치를 창조하며 스스로의 삶을 개척하는 존재를 의미한다. 그는 외부의 기준에 흔들리지 않고, 모든 고통과 시련을 넘어 더 높은 곳을 향해 나아간다.이 책은 니체의 대표작인 『인간적인, 너무나 인간적인(Human, All Too Human)』을 기반으로, 현대를 살아가는 우리가 직면한 고민과 삶의 문제에 대한 통찰을 담았다. 단순한 철학적 개념이 아니라, 우리가 현실 속에서 어떻게 자기 자신을 극복하고 성장할 수 있는지를 조명한다.니체의 날카로운 사상을 현대적 언어로 재구성하여 누구나 직관적으로 이해하고 실천할 수 있도록 구성했다. 자기 극복, 인간관계, 감정 조절, 삶을 대하는 태도 등 현실적인 주제들을 깊이 있게 다루며, 독자들에게 스스로 질문하고 답을 찾아가는 과정의 중요성을 일깨운다.""나를 죽이지 못하는 고통은 나를 더 강하게 만든다.""이 문장을 가슴에 새기고, 세상이 아닌 나 자신을 위한 삶을 선택할 준비가 되었는가?『위버멘쉬』를 통해 자신을 뛰어넘는 길을 찾기를 희망한다."
사탄탱고,크러스너호르커이 라슬로,조원규,,,,,,알마,2018년 05월,17820,9.1,29,https://www.yes24.com/product/goods/60543924,412,국내도서 소설 시 희곡 세계각국소설 기타 국가의 소설,"2015 맨부커 인터내셔널 부문 수상영화 [사탄탱고] 원작 소설“크러스너호르커이는 현존하는 묵시록 문학 최고 거장이다.”_수전 손택 “괴물 같은 소설이다.”_〈가디언〉“현대문학에 다시없을 작품”_〈뉴욕리뷰오브북스〉“파멸의 공포 속에서도 예술의 힘을 다시 일깨운 작가”신작 《헤르쉬트 07769》로 한국 독자와의 만남을 이어간다헝가리 현대문학의 거장 크러스너호르커이 라슬로가 2025년 노벨문학상을 수상했다.노벨위원회는 “파멸의 공포 속에서도 예술의 힘을 다시 일깨우는 강렬하고 비전적인 작품”을 수상 이유로 밝히며, 그가 현대 문학이 잃어버린 ‘예언적 언어’의 가능성을 다시 보여주었다고 평가했다.파멸과 구원 사이, 언어의 경계 위를 걷는 문학의 예언자크러스너호르커이 라슬로는 1985년 데뷔작 《사탄탱고》를 통해 문단에 등장한 이후 인간 존재의 불안과 세계의 붕괴를 압도적인 문장으로 형상화해온 작가다.그는 끝없이 이어지는 긴 문장과 강렬한 서사적 긴장으로, ‘읽는 수행’이라 불릴 만큼 독보적인 문체로 독자를 몰입시킨다.알마출판사는 작가의 대표작 여섯 권, 《사탄탱고》 《항의 멜랑콜리》 《라스트 울프》 《세계는 계속된다》 《서왕모의 강림》 《벵크하임 남작의 귀향》을 국내에 소개해왔으며, 2026년 1월에는 신작 《헤르쉬트 07769》(Herscht 07769)를 출간할 예정이다.《헤르쉬트 07769》은 이름 대신 숫자로 불리는 남자 ‘헤르쉬트’가 문명 붕괴 이후의 세계 속에서 자신의 정체성과 언어의 의미를 되찾으려는 여정을 그린 작품이다.숫자와 기호로만 소통하는 사회에서, 그는 더 이상 이름을 부를 수 없는 인간들의 세계를 마주한다.이 작품은 작가가 일관되게 탐구해온 ‘존재의 불안’과 ‘언어의 종말 이후 인간의 가능성’을 가장 밀도 높게 구현한 후기작으로 평가받는다.전 세계로 확장되는 그의 문학 작품은 오랫동안 조용한 반향 속에서도 깊은 독자층을 형성해왔다.이번 노벨문학상 수상은 인간과 예술의 근원을 향한 그의 끝없는 탐구가 다시 한 번 세계의 언어로 되살아난 순간으로, 독자들에게 강렬한 울림을 전하는 계기가 될 것이다.《크러스너호르커이 라슬로 읽기》(가제) 및 벨라 타르 영화 상영회 추진알마출판사는 이번 수상을 기념하여, 결코 쉽지 않지만 반드시 읽어야 할 문학의 세계를 독자들에게 더 가까이 전하기 위한 소책자 《크러스너호르커이 라슬로 읽기》(가제)를 선보일 예정이다.필진으로는 한경민 교수, 조원규 시인, 정성일 영화평론가, 장은수 문학평론가, 금정연 평론가, 김유태 시인 등이 참여해 각자의 시선으로 작가의 세계를 해석할 예정이다.또한 작가의 문학 세계를 영상으로 확장해 조명하기 위해, 또 한 명의 세계적인 거장 타르 벨라 감독의 영화 《사탄탱고》와 《항의 멜랑콜리》를 원작으로 한 《베이크마이스터 하모니즈》(Werckmeister Harmonies) 상영회를 추진하고 있다."
박곰희 연금 부자 수업,박곰희,,,,,,,인플루엔셜,2025년 06월,18900,9.7,144,https://www.yes24.com/product/goods/148032819,296,국내도서 경제 경영 투자 재테크 재테크일반,"“연금 투자야말로 평범한 사람들이 부자가 되는 확실한 방법이다!” 81만 투자 멘토 ‘박곰희TV’가 한 권으로 정리한 연금의 모든 것대한민국이 초고령사회에 진입한 지금, 더 충격적인 현실이 드러났다. 서울금융복지상담센터 분석에 따르면 개인파산 신청자의 86%가 50대 이상 중장년층이며, 통계청 자료로는 성인 4명 중 1명이 아예 노후 준비를 포기한 상태다. 준비 없는 노후는 더 이상 남의 일이 아니다.이런 절망적인 현실 앞에서 베스트셀러 《박곰희 투자법》 출간 5년 만에 돌아온 금융 유튜버 박곰희가 이번엔 연금으로 평생 월급 받는 비밀을 공개한다. 증권사 출신인 자는 5년간 금융 유튜버로 활동하며 수많은 구독자의 연금 고민을 직접 들어왔다. “투자를 잘 모르는데 연금은 어떻게 준비해야 할까요?”, “3억 원으로 정말 노후 생활이 가능할까요?”, “55세, 연금 준비 늦은 걸까요?”와 같은 절실한 질문들에 대한 현실적이고 구체적인 답변을 《박곰희 연금 부자 수업》에 녹여냈다. 복잡한 투자 지식이나 목돈 없이도 4개의 절세 통장과 검증된 투자 방법만으로 누구나 따라 할 수 있는 연금 부자 로드맵을 완성했다.이 책의 가장 혁신적인 부분은 은퇴 후 안정적인 자산 인출 전략으로 ‘4% 룰’을 적용했다는 점이다. 자는 은퇴자금에서 매년 4%씩 인출하면 30년 이상 또는 평생 자금이 고갈되지 않는다는 검증된 방법론을 활용해 원금은 보존하면서 수익으로만 생활하는 ‘마르지 않는 현금흐름’을 만드는 구체적인 방법을 제시한다. 실제로 노벨상을 수여하는 노벨재단도 이와 유사한 원리로 120년간 꾸준히 상금을 지급해오고 있다. 자는 이 과학적 근거를 바탕으로 연금 자산의 4~6%만 매년 인출하면 평생 사용할 수 있는 전략을 구체화했다.또한 월 50만 원부터 200만 원까지 개인의 투자 여력에 따른 구체적인 포트폴리오와 납입 전략을 제시하고, 자산 규모별로 실제 현금흐름이 어떻게 만들어지는지 보여준다. 단순히 돈을 모으는 것에 그치지 않고, 연금 개시부터 월배당 중심 포트폴리오 전환, 세금 최적화, 수령 방식 선택까지 연금 수령의 모든 과정을 5단계로 나누어 상세히 안내한다. 자는 “완벽한 계획을 세우는 것보다 불완전하더라도 우선 시작하는 것이 중요하다”고 강조한다. 30~40대 직장인부터 50대 예비 은퇴자까지, 노후 준비를 시작하고 싶지만 어디서부터 손대야 할지 모르는 투자 초보자들에게 이 책은 가장 현실적이고 검증된 해답을 제시한다."
머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승주, 김용섭, 김학렬, 김현준, 최재붕",,,,,,,북모먼트,2025년 09월,23400,9.5,52,https://www.yes24.com/product/goods/152645689,436,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"대한민국에서 가장 신뢰받는 경제 예측서!480만 명이 선택한 전문가 8인의 2026년 생존 전략 경제 전쟁 최전선, 부의 격차를 가르는 50가지 돈의 흐름이 책에 보내는 독자들의 열렬한 찬사★ ★ ★ ★ ★ 내년의 내 삶을 준비하기 위해 샀다. - ai*** 님해마다 구매한다. 돈의 흐름, 경제 전망 등 두루 파악할 수 있는 좋은 책. -ju*** 님미래를 내다볼 지혜가 생기고 경제 관념이 확실해지는 책. 부자가 되기 위한 모범적인 길잡이. -pk*** 님현명한 투자를 위한 최고의 참고서. -kb*** 님누적 조회수 17억 뷰! 480만 명이 열광한 경제 인사이트2026년을 책임질 머니 트렌드의 귀환 붉은 말의 해, 부의 상승 곡선에 올라탈 기회는 지금이다!대한민국에서 가장 신뢰받는 경제 전망 시리즈 『머니 트렌드 2026』이 네 번째 책으로 돌아왔다. 시리즈 출범부터 화제를 모은 머니 트렌드는 지금까지 수많은 독자가 “새해에 가장 먼 펼치는 책”, “경제를 바라보는 안목이 달라졌다”, “투자와 소비의 기준이 확실해졌다”라고 호평하는 필독서가 되었다. 흔들리는 시장에도 앞서 대비한 독자들의 경험담이 이어지면서 ‘대한민국 경제 예측의 바로미터’로 자리매김하고 있다. 『머니 트렌드 2026』에는 거시 경제부터 주식, 부동산, 암호화폐, 테크, 문화 트렌드까지 각 분야 최전선에서 활동하는 대한민국 최고 전문가들이 집필진으로 참여해 2026년 한국 경제의 빅픽처를 그려낸다. 내일의 경제를 예측하는 것을 넘어, 당장 무엇을 준비해야 할지 스스로 방향키를 쥘 수 있도록 안내한다. 책 속의 50가지 인사이트는 돈의 흐름을 앞서 읽게 해주는 성공 공식이다. 재테크 초보자라 해도 이 책을 통해 기본기를 갖출 수 있고, 이미 시장에 깊숙이 들어와 있는 투자자에게는 새로운 관점을 열어준다. 나아가 불확실성이 커질수록 생존을 위해 트렌드를 놓치지 말아야 하는 소상공인이나 마케터 같은 직장인, 경영인, 그리고 변동성의 파도 속에서 주요 의사결정을 해야 하는 각계 관계자들에게도 필요한 통찰이 담겼다. 해를 거듭하며 요동치는 경제 환경에서 누구보다도 독자들이 가장 먼 상황을 꿰뚫고 기민하게 대응하도록 돕는 머니 트렌드 시리즈. 이번 『머니 트렌드 2026』 시, 우리가 맞닥뜨린 거대한 격변을 가늠하고 앞으로 1년을 준비할 명확한 길잡이가 되어줄 것이다."
다크 심리학,다크 사이드 프로젝트,,,,,,,어센딩,2025년 07월,19710,9.6,85,https://www.yes24.com/product/goods/149658696,양,국내도서 인문 심리 심리학 이론,"국내 최초 ‘다크 심리학’을 기반한 심리 기술출간 전부터 50만 팔로워가 기다린 바로 그 책!지금, 당신이 살아남기 위해 꼭 읽어야 『다크 심리학』‘다크 심리학’은 인간 본성의 어두운 면을 탐구하여 타인의 감정을 조종하거나 조작하는 기술을 융합한 것이다. 그런데 최근 들어 수많은 사람이 다크 심리학에 깊은 관심을 보인다. 과연 왜 그럴까? 바로 힘과 지혜, 권력과 지식을 통해 자신의 현재 삶을 바꾸고 싶은 인간의 심리가 기에 깔려 있기 때문이다. 국내 최초 다크 심리학을 기반한 심리 기술을 담아낸 『다크 심리학』은 인간의 본성, 그 ‘어두운 프로그래밍’을 실전 기술로 해부한 책이다. 이 책에 담긴 ‘다크 심리 기술’은 우리가 실생활에서 타인을 설득(조종)하고, 갈등을 해결(조작)할 수 있는 탁월한 방법들을 정리한 것이다. 이를 통해 누구나 다양한 관계에서 만연한 심리적 조작에서 벗어날 수 있으며, 반대로 나에게 유리하게 이끄는 기술을 배울 수 있다.사실 ‘다크 심리 기술’은 새로운 지식이 아니다. 인류의 오랜 사 속에서 계속 반복되어 온 권력 획득과 유지의 법칙을 현대적으로 재해석한 것이다. 그런데 ‘이 기술’을 이미 다른 사람들에게 강력한 무기로 쓰는 사람들이 있다. 그러나 대다수의 사람은 아무것도 모른 채 그냥 조종당하고 있을 뿐이다. 세상의 모든 것은 설계되어 있다. 그런데 당신은 아무 설계도 없이 살아온 것이다. 이 책은 이미 조종당하고 있는 이들을 위한 ‘생존 설명서’와 같다. 이 책을 통해 ‘어둠의 구조’와 전략을 알게 된다면, 더는 ‘당하는 희생자’가 아니다. 더 나아가 필요하다면 ‘어둠의 기술’들을 창의적으로 재구성할 수도 있다. 지금, 당신이 살아남기 위해 가장 먼 읽어야 할 책. 『다크 심리학』을 꼭 만나기를 바란다."
비트코인 없는 미래는 없다,"오태민, 손혜민, 김유정",,,,,,,거인의정원,2025년 09월,27900,9.9,68,https://www.yes24.com/product/goods/153777837,368,국내도서 경제 경영 경제 각국 경제 경제사 전망 경제전망,"“비트코인은 공부한 자들을 절대로 빈손으로 돌려보내지 않는다”격변하는 글로벌 패권과 스테이블코인의 도래비트코인이 가져올 미래는 어떤 모습인가?많은 이들이 비트코인을 디지털 화폐, 혹은 블록체인 기술이라는 이름으로 간단히 정의하려 한다. 그러나 비트코인은 단순히 새로운 결제 수단이나 가치 장 수단, 기술적 장치로 설명할 수 없다. 비트코인은 국가와 개인, 제도와 시스템, 협력과 권위라는 인간 사회의 본질에 대해 의문을 던지는 하나의 ‘문명사적 사건’이다. 문명은 ‘신뢰’라는 보이지 않는 질서를 통해 작동한다. 화폐는 종이에 불과하지만 ‘돈’이라고 믿는 순간 제국을 움직인다. 법은 문자일 뿐이지만 ‘정의’라고 믿는 순간 폭력으로 기능할 수 있다. 국가는 실체하지 않지만 사람들이 경외를 표하는 순간 살인을 명령하는 전쟁머신이 될 수 있다. 이 지점에서 비트코인과 새롭게 대두되는 스테이블코인은 문명의 근본을 뒤흔든다. 과연 신뢰는 제도와 권위 안에서만 존재할 수 있는가?인간은 항상 신뢰를 보증할 제3자를 발명했다. 신의 대리인인 왕을 믿고, 중앙은행이 국가를 담보로 화폐를 발행하는 ‘구조’를 믿었다. 그러나 법이 불평등을 재생산하고, 위험을 은폐한 금융 시스템이 금융위기를 불러일으키며 ‘위임된 신뢰’가 흔들리는 지금, 중앙 없이 스스로 존재하는 비트코인은 우리에게 어떤 의미인가? 한양대학교 인문과학대학 비트코인 화폐철학과 교수와 학생들의 치열한 토론을 바탕으로 만들어진 이 책은 새로운 자산으로서의 비트코인을 넘어 신뢰와, 질서의 조건에 대한 철학적 탐구를 담으면서 비트코인에 대한 진정한 이해로 우리를 이끈다. 이를 통해 우리는 다가올 새로운 국제 질서에 대한 수준 높은 통찰력을 얻을 수 있을 것이다."
손자병법,손자,소준섭,,,,,,현대지성,2025년 10월,11700,9.9,71,https://www.yes24.com/product/goods/154827889,384,국내도서 사 세계사 세계문화,"“싸우면서 이기려 하지 말고, 이겨놓고 싸워라.”인간관계·비즈니스·투자까지… 2,500년을 견뎌온 불태不殆의 법칙★ 97가지 스토리텔링과 명화 이미지로 만나는 가장 입체적인 『손자병법』★ 빌 게이츠, 일론 머스크, 손정의가 꼽은 인생 책『손자병법』은 왜 2,500년 동안 고전의 자리를 지켜왔을까? 그 이유는 단순하다. 이 책이 말하는 승리의 본질은 단순히 “어떻게 이길 것인가”가 아니라 “어떻게 위태롭지 않게 살 것인가”이기 때문이다. 싸워서 이길 수도 있고 질 수도 있지만, 지더라도 위태로워지지 않는 상태, 다시 탈탈 털고 일어설 수 있는 수천 년의 검증을 견뎌낸 지혜를 전하기 때문이다. 현대지성 클래식은 이 단단한 병법서를 오늘날 독자에게 맞게 재해석했다. 고전의 깊이를 해치지 않으면서도, 독자가 직접 삶에 적용할 수 있도록 97가지 사적 사례와 47컷의 이미지로 풀어냈다. 항우의 몰락에서 배우는 감정 관리, 유방의 성공에서 터득하는 인재 활용, 제갈량의 지혜로 익히는 상황 판단, 링컨의 리더십으로 배우는 조직 운영까지… 이야기마다 ‘삶의 전략’이 녹아 있다. 특히 이번 판본은 각 편마다 상세한 해설과 원문 대조, 현대적 적용을 곁들여 독자들이 손자의 사상을 단순히 읽는 데 그치지 않고 실천 지침으로 전환할 수 있도록 구성했다. 또한 노자의 사상, 병법으로 읽는 비즈니스 전략, 삼십육계 해설을 담은 부록은 『손자병법』을 한층 넓고 깊게 확장시킨다. 빌 게이츠, 일론 머스크, 손정의가 이 책에서 삶과 경영의 지혜를 길어 올린 이유는 여기에 있다. 『손자병법』은 고대의 전쟁사가 아니라, 지금 이 순간에도 흔들리지 않는 삶의 기반을 마련해 주는 최고의 전략 교과서다. 오늘 이 책을 집어든다면, 당신도 “싸우지 않고 이기는 법”을 손에 넣게 될 것이다."
포즈랑의 투자 이야기,포즈랑,,,,,,,에디터,2025년 10월,19800,10.0,4,https://www.yes24.com/product/goods/158980453,344,국내도서 경제 경영 투자 재테크 재테크일반,"7,000%의 수익, 숨은 고수의 투자 노하우!13년 동안의 투자 과정을 진솔하게 담고 있는 책!지난 13년 동안 7,000%의 놀라운 수익을 올린, 숨은 고수의 투자 노하우를 담은 책. 자가 투자자로서 겪어온 경험들과, 스스로를 발전시키고 다른 사람들에게 조언해왔던 과정을 진솔하게 풀어내고 있다. ‘포즈랑의 투자 이야기’라는 제목의 이 책에서 자는 투자를 아주 쉽게 생각하고 덤벼들었다가 돈을 날리는 사람들이 아주 많다고 일침을 가한다.“주식으로 돈을 날릴 수 있다. 투자라는 게 그런 것이다. 충분히 신중하게 의사 결정을 했음에도 투자 결과가 좋지 않은 경우는 주식이 아니어도 많이 있지만, 유독 주식은 그런 신중한 의사 결정 없이, 혹은 엉뚱한 인과관계로 큰돈을 넣고 ‘어이없게’ 날리는 경우가 너무 많다.” 쉽지 않은 내용이지만 소설처럼 술술 읽힌다. 주식 잘하는 친한 동네 형이 카페에서 투자에 대해 잔소리해주는 기분이 들 정도로 편안하고 따뜻하다."
